"order","n_new_species","n_papers","n_species_total_order","prop_new_species_all","prop_to_total_species_order"
"Passeriformes",289,383,859,0.547348484848485,0.336437718277066
"Charadriiformes",61,128,142,0.115530303030303,0.429577464788732
"Anseriformes",30,65,58,0.0568181818181818,0.517241379310345
"Accipitriformes",28,59,55,0.053030303030303,0.509090909090909
"Pelecaniformes",19,38,35,0.0359848484848485,0.542857142857143
"Gruiformes",15,30,29,0.0284090909090909,0.517241379310345
"Strigiformes",12,18,32,0.0227272727272727,0.375
"Columbiformes",11,18,34,0.0208333333333333,0.323529411764706
"Galliformes",9,13,64,0.0170454545454545,0.140625
"Coraciiformes",8,14,23,0.0151515151515152,0.347826086956522
"Piciformes",8,11,43,0.0151515151515152,0.186046511627907
"Suliformes",7,14,13,0.0132575757575758,0.538461538461538
"Ciconiiformes",5,11,7,0.00946969696969697,0.714285714285714
"Procellariiformes",5,9,19,0.00946969696969697,0.263157894736842
"Cuculiformes",4,12,20,0.00757575757575758,0.2
"Gaviiformes",4,9,4,0.00757575757575758,1
"Caprimulgiformes",4,4,22,0.00757575757575758,0.181818181818182
"Podicipediformes",3,5,5,0.00568181818181818,0.6
"Falconiformes",2,2,12,0.00378787878787879,0.166666666666667
"Phoenicopteriformes",1,10,1,0.00189393939393939,1
"Otidiformes",1,1,3,0.00189393939393939,0.333333333333333
"Pterocliformes",1,1,3,0.00189393939393939,0.333333333333333
"Trogoniformes",1,1,3,0.00189393939393939,0.333333333333333
"Total",528,765,1504,1,0.351063829787234
