order,direction,count,n_total,proportion
Passeriformes,East,128,351,0.3646723646723647
Charadriiformes,East,33,75,0.44
Accipitriformes,East,12,37,0.32432432432432434
Anseriformes,East,16,36,0.4444444444444444
Pelecaniformes,East,6,22,0.2727272727272727
Columbiformes,Northeast,5,16,0.3125
Columbiformes,East,5,16,0.3125
Gruiformes,Southwest,4,15,0.26666666666666666
Coraciiformes,Northeast,4,13,0.3076923076923077
Strigiformes,East,4,13,0.3076923076923077
Galliformes,Northeast,4,11,0.36363636363636365
Cuculiformes,North,4,10,0.4
Piciformes,East,4,10,0.4
Gaviiformes,East,3,7,0.42857142857142855
Gaviiformes,Southeast,3,7,0.42857142857142855
Ciconiiformes,Northeast,2,6,0.3333333333333333
Procellariiformes,East,4,6,0.6666666666666666
Suliformes,East,3,6,0.5
Caprimulgiformes,North,1,4,0.25
Caprimulgiformes,Northeast,1,4,0.25
Caprimulgiformes,East,1,4,0.25
Caprimulgiformes,South,1,4,0.25
Podicipediformes,East,3,3,1
Falconiformes,Southeast,1,2,0.5
Falconiformes,Northwest,1,2,0.5
Phoenicopteriformes,North,1,2,0.5
Phoenicopteriformes,Northeast,1,2,0.5
Otidiformes,East,1,1,1
Pterocliformes,Southeast,1,1,1
Trogoniformes,West,1,1,1
