total_records,percentage,province_label_bar
44,0.04154863078375826,Anhui
18,0.0169971671388102,Beijing
12,0.0113314447592068,Chongqing
16,0.015108593012275733,Fujian
53,0.05004721435316336,Gansu
14,0.013220018885741265,Guangdong
38,0.03588290840415486,Guangxi
35,0.033050047214353166,Guizhou
31,0.02927289896128423,Hainan
13,0.012275731822474031,Hebei
22,0.02077431539187913,Heilongjiang
38,0.03588290840415486,Henan
1,9.442870632672333e-4,Hong Kong
35,0.033050047214353166,Hubei
62,0.05854579792256846,Hunan
36,0.0339943342776204,Neimenggu
50,0.047214353163361665,Jiangsu
31,0.02927289896128423,Jiangxi
28,0.02644003777148253,Jilin
35,0.033050047214353166,Liaoning
0,0,Macau
24,0.0226628895184136,Ningxia
31,0.02927289896128423,Qinghai
59,0.05571293673276676,Shaanxi
31,0.02927289896128423,Shandong
25,0.023607176581680833,Shanghai
11,0.010387157695939566,Shanxi
35,0.033050047214353166,Sichuan
1,9.442870632672333e-4,Taiwan
26,0.024551463644948063,Tianjin
35,0.033050047214353166,Xinjiang
68,0.06421152030217187,Xizang
63,0.059490084985835696,Yunnan
38,0.03588290840415486,Zhejiang
