"province","n_records","n_species","current_report_sum","historical_report_sum","current_user_sum","historical_user_sum","historical_report_annual","current_report_annual","historical_user_annual","current_user_annual","gdp_per_capita","area_km2","habitat_heterogeneity","human_density","population_10k","new_record_density_100k","log_new_record_density","historical_report_density","current_report_density","historical_user_density","current_user_density","z_hist_report_density","z_curr_report_density","z_gdp_per_capita","z_area_km2","z_habitat_heterogeneity","z_curr_user_density","fitted_primary","resid_primary","std_resid_primary","cooks_d_primary"
"Anhui",44,43,11890,0,1875,0,0,475.6,0,75,73811,140100,1.449954,436,6103,31.4061384725196,3.47834786388157,0,339.471805852962,0,53.5331905781585,-0.185977938898307,-0.273566703510653,-0.294940164875515,-0.440741537029558,-0.674783140708809,-0.268407212691389,3.11621177195078,0.362136091930791,0.580388466603507,0.0041884608435195
"Beijing",18,18,91903,0,6435,0,0,3676.12,0,257.4,190064,16418,1.8031313,1333,2189,109.635765623097,4.70624341496014,0,22390.7905956877,0,1567.79144841028,-0.185977938898307,2.46993778874198,2.91636052307097,-0.75973192923198,0.373438699926085,2.31450437272222,4.92333498620211,-0.217091571241977,-0.424254611071151,0.0179331726612133
"Chongqing",12,12,5868,0,865,0,0,234.72,0,34.6,90874,82370,1.7804821,389,3205,14.5684108291854,2.74524391443162,0,284.958115818866,0,42.0055845574845,-0.185977938898307,-0.280348998706837,0.176397552331189,-0.58963398170094,0.30621641210377,-0.2880701644956,3.21850458831324,-0.473260673881616,-0.75696264746953,0.00671296959215464
"Fujian",16,16,34551,0,3714,0,0,1382.04,0,148.56,127852,124000,1.5363476,335,4154,12.9032258064516,2.6321208856186,0,1114.54838709677,0,119.806451612903,-0.185977938898307,-0.177135913917132,1.19785486387485,-0.482265326380143,-0.418368987219684,-0.155363104895108,3.3748093106511,-0.742688425032501,-1.31943017560312,0.0929717363644571
"Gansu",53,50,7967,0,1212,0,0,318.68,0,48.48,44771,425800,2.0127174,59,2502,12.4471582902771,2.59876780419188,0,74.8426491310475,0,11.3856270549554,-0.185977938898307,-0.306490416018146,-1.09712309329858,0.296112290141993,0.995485268359246,-0.340299460633884,2.47920466622231,0.119563137969575,0.199551195687158,0.00109761640844478
"Guangdong",14,14,91060,0,8895,0,0,3642.4,0,355.8,102465,179725,1.8012818,701,12601,7.78967867575463,2.1735781553696,0,2026.65182918347,0,197.969119488107,-0.185977938898307,-0.063656991653421,0.496580139223465,-0.338544011997452,0.367949427840211,-0.0220389117744908,3.20853186998885,-1.03495371461926,-1.65952677779343,0.0347358120333183
"Guangxi",38,38,16122,0,2445,0,0,644.88,0,97.8,52469,237600,1.6009697,211,5013,15.993265993266,2.83281714753756,0,271.414141414141,0,41.1616161616162,-0.185977938898307,-0.282034065934628,-0.884478321156678,-0.18927759531018,-0.226572128792791,-0.289509744392977,2.86289817764858,-0.0300810301110164,-0.0485116920774763,3.45492102887607e-05
"Guizhou",35,33,5045,0,1096,0,0,201.8,0,43.84,52291,176167,1.830618,219,3856,19.8675120766091,3.03819350347071,0,114.550398201706,0,24.8854779839584,-0.185977938898307,-0.301550195027699,-0.889395282632549,-0.347720511532196,0.45501857288785,-0.317272396930894,2.91452169178909,0.123671811681618,0.200792873349613,0.000691005426168432
"Hainan",31,31,12207,0,1702,0,0,488.28,0,68.08,67633,35400,1.7431838,285,1008,87.5706214689266,4.4838002164947,0,1379.32203389831,0,192.316384180791,-0.185977938898307,-0.144194224744103,-0.465597400818961,-0.710775123675906,0.195515943306505,-0.0316809364681157,3.26897119379004,1.21482902270466,1.94769735030577,0.04766811814428
"Hebei",13,13,7935,0,2102,0,0,317.4,0,84.08,56789,188800,1.7514692,395,7461,6.88559322033898,2.06503745161664,0,168.114406779661,0,44.5338983050847,-0.185977938898307,-0.294886054004785,-0.765145323540024,-0.315138522037418,0.220106813779767,-0.283757550820582,2.92633951790347,-0.861302066286834,-1.38176672465761,0.0244217183874863
"Heilongjiang",22,21,3540,0,565,0,0,141.6,0,22.6,49925,473000,1.4265208,67,3185,4.65116279069767,1.73186132764699,0,29.9365750528541,0,4.77801268498943,-0.185977938898307,-0.312077384178062,-0.954752197530929,0.417846629107682,-0.744332321915998,-0.351570248572372,2.50673026504499,-0.774868937398003,-1.26050738708114,0.0283630967169302
"Henan",38,38,9853,0,2053,0,0,394.12,0,82.12,61737,167000,1.2584924,595,9937,22.7544910179641,3.16777160809758,0,236,0,49.1736526946108,-0.185977938898307,-0.286440099740812,-0.628464843862431,-0.37136328028852,-1.24303662348616,-0.275843395289848,3.05112257925706,0.116649028840512,0.192369165315807,0.0008498646410887
"Hubei",35,35,40098,0,3660,0,0,1603.92,0,146.4,93043,185900,1.9581408,311,5775,18.8273265196342,2.98706111345448,0,862.786444324906,0,78.7520172135557,-0.185977938898307,-0.20845875803162,0.236312661551217,-0.322617962355225,0.833503215414183,-0.225390772694978,3.07668037265451,-0.0896192592000233,-0.143796348121067,0.000265635525419742
"Hunan",62,61,32278,0,2529,0,0,1291.12,0,101.16,73249,211800,1.893338,314,6644,29.2728989612842,3.41025288855976,0,609.593956562795,0,47.7620396600567,-0.185977938898307,-0.239959582730603,-0.310464503917311,-0.255818822965154,0.641170043677792,-0.278251222120055,2.95794783243542,0.452305056124345,0.718155241740857,0.00470184811783024
"Inner Mongolia",36,35,6925,0,1262,0,0,277,0,50.48,96299,1183000,1.9069698,20,2405,3.04311073541843,1.39701437970191,0,23.4150464919696,0,4.26711749788673,-0.185977938898307,-0.312888757097462,0.326254383828954,2.24901994829495,0.681628902407293,-0.352441696418784,1.53432796849519,-0.137313588793283,-0.251041451541782,0.00418422106396835
"Jiangsu",50,50,47456,5,4796,3,0.25,1898.24,0.15,191.84,144989,107200,1.336322,791,8475,46.6417910447761,3.86371033917873,0.233208955223881,1770.74626865672,0.139925373134328,178.955223880597,5.38487529911622,-0.095495362028858,1.67123671113332,-0.525594497876405,-1.01204021865528,-0.0544714317851736,3.88036646020269,-0.0166561210239605,-0.845516333935682,128.333766474755
"Jiangxi",31,30,17752,0,3288,0,0,710.08,0,131.52,70980,166900,2.0060458,271,4519,18.573996405033,2.97420197134329,0,425.452366686639,0,78.8016776512882,-0.185977938898307,-0.262869472331794,-0.373141951045133,-0.371621192023617,0.975684117968267,-0.225306065532714,2.99151092405816,-0.0173089527148634,-0.0278283289893961,1.0506646052725e-05
"Jilin",28,26,3810,0,697,0,0,152.4,0,27.88,54293,187400,1.3353062,128,2407,14.9413020277481,2.76891335307187,0,81.3233724653148,0,14.8772678762006,-0.185977938898307,-0.305684119861891,-0.834093277718535,-0.318749286328773,-1.01505508893635,-0.334343673711375,2.97273190083691,-0.20381854776504,-0.334998273179684,0.0024351296054328
"Liaoning",35,35,8129,0,1079,0,0,325.16,0,43.16,68030,148000,1.4459971,288,4259,23.6486486486486,3.20472207743011,0,219.702702702703,0,29.1621621621622,-0.185977938898307,-0.288467720345858,-0.454630919325023,-0.420366509956911,-0.686527125957035,-0.309977540156032,3.0763605411653,0.128361536264808,0.206086629134124,0.000555049419111552
"Ningxia",24,24,2022,0,391,0,0,80.88,0,15.64,70385,66400,1.8940364,108,720,36.144578313253,3.61481782008955,0,121.807228915663,0,23.5542168674699,-0.185977938898307,-0.300647339835544,-0.3895778615965,-0.630822485795898,0.643242878295134,-0.319543165304257,3.14073805316647,0.474079766923084,0.759585433366047,0.00711622036223885
"Qinghai",31,31,10968,0,1364,0,0,438.72,0,54.56,60940,722300,1.0587929,8,592,4.29184549356223,1.66616704959864,0,60.7393049979233,0,7.55364806866953,-0.185977938898307,-0.308245076968531,-0.65048067698754,1.060820584704,-1.83573999786461,-0.3468357716413,2.22274907078726,-0.556582021188619,-0.962635436218161,0.0388380890197759
"Shaanxi",59,57,9740,0,1723,0,0,389.6,0,68.92,82908,205600,2.0862734,192,3953,28.6964980544747,3.3910291282329,0,189.494163424125,0,33.5214007782101,-0.185977938898307,-0.292226101602102,-0.0436502854035945,-0.271809350541156,1.21379772986156,-0.302541868026304,2.95305339425141,0.437975733981489,0.708042732803721,0.00780284046299903
"Shandong",31,31,7302,0,2065,0,0,292.08,0,82.6,86120,155800,1.0360239,652,10153,19.8973042362003,3.03962016673776,0,187.471116816431,0,53.0166880616175,-0.185977938898307,-0.292477797997639,0.0450760081947137,-0.400249394619361,-1.90331784924241,-0.269288225112466,3.18827168560013,-0.148651518862371,-0.25950648004297,0.00308666378028701
"Shanghai",25,25,63627,0,4732,0,0,2545.08,0,189.28,179538,6340,1.1685455,3923,2487,394.321766561514,5.97970003218543,0,40143.2176656151,0,2985.48895899054,-0.185977938898307,4.67859768246158,2.62559683489669,-0.785724273895035,-1.5099968870065,4.73270965953515,5.9803070465096,-0.000607014324175477,-0.0022483530765499,3.99323505521805e-06
"Shanxi",11,11,5230,0,958,0,0,209.2,0,38.32,73442,156700,1.8605019,223,3492,7.01978302488832,2.08191136725912,0,133.503509891512,0,24.4543714103382,-0.185977938898307,-0.299192152519732,-0.305133191755271,-0.39792818900349,0.543713278531019,-0.318007747164444,3.02039576499225,-0.938484397733123,-1.49034347332417,0.0203792871779999
"Sichuan",35,35,32701,0,4042,0,0,1308.04,0,161.68,67822,486000,2.2854274,172,8367,7.20164609053498,2.10433487687225,0,269.144032921811,0,33.2674897119342,-0.185977938898307,-0.282316500418749,-0.460376582173233,0.451375154670266,1.80488207319223,-0.302974971053054,2.44684908464927,-0.342514207777023,-0.577438851280381,0.0105074689506009
"Tianjin",26,25,9815,0,1055,0,0,392.6,0,42.2,117635,11934,1.3320304,1162,1387,217.864923747277,5.38845475298332,0,3289.76034858388,0,353.611530082118,-0.185977938898307,0.0934920627956512,0.915626799835649,-0.77129669143372,-1.02477758555646,0.243444590412587,3.65696198331117,1.73149276967215,2.95691629324275,0.320719874160433
"Tibet",68,67,10289,2,999,1,0.1,411.56,0.05,39.96,58459,1228400,1.4510793,3,365,5.53565613806578,1.87727274571867,0.0081406707912732,33.503744708564,0.0040703353956366,3.25301204819277,0.00848492893469721,-0.311633576437203,-0.719014280479882,2.36611187602889,-0.671443277027688,-0.354171483726397,1.40011838317592,0.477154362542755,0.845516333935497,0.0373718204549996
"Xinjiang",35,34,14290,0,1158,0,0,571.6,0,46.32,68626,1664990,1.6312508,16,2585,2.10211472741578,1.13208404905294,0,34.3305365197389,0,2.78199869068283,-0.185977938898307,-0.311530711521516,-0.438167385394578,3.492128720288,-0.136698542980654,-0.35497490404899,0.737478889329065,0.394605159723875,0.82536275265001,0.0942685095228519
"Yunnan",63,63,51846,0,4678,0,0,2073.84,0,187.12,61332,394100,2.2693637,120,4721,15.9857904085258,2.83237713620985,0,526.22177112408,0,47.4803349403705,-0.185977938898307,-0.250332294107188,-0.639652312388992,0.214354270116308,1.75720539300524,-0.278731733539016,2.57871839607003,0.253658740139819,0.42931362623626,0.0060947634972241
"Zhejiang",38,37,33618,0,4950,0,0,1344.72,0,198,120363,105500,2.0459541,612,6457,36.0189573459716,3.61143014213423,0,1274.61611374408,0,187.677725118483,-0.185977938898307,-0.157221162726651,0.990983377960239,-0.52997899737305,1.09413100479426,-0.0395932236693563,3.31211031268003,0.299319829454201,0.512781751762962,0.00998580910975633
